Predicted_price,brand_name,item_condition,item_description,item_name,main_category,pic,shipping_fee,sold_badge,sub1_category,sub2_category,url,ex_item_name_mecab_ipadic_neologd,ex_item_description_mecab_ipadic_neologd,actual_price
723.0,,未使用に近い,マスキングテープ切り売り30cm×53種類です☆  コレクションしているマスキングテープが増えて来たので切り売りを始めました！！  スヌーピー、ミッフィー、ディズニー、花柄、動物柄、食べ物柄などです♡  物によっては画像と同じ柄になるとは限りません。（特にスヌーピー、ミッフィー）  色々な柄のマスキングテープが欲しい方にオススメです！  1枚目の画像に写っている49種類プラス写っていない4種類の計53種類です。  2枚目、3枚目の画像は柄をアップにしたものです。  4枚目の画像のようにクリアファイルを切ったものに巻き付けています。  柄によって30cmよりやや長め（プラス１cm弱）に切っています。  元々粘着力の弱いマスキングテープもあります。  ハンドメイドですので巻き付けた際に出来るヨレやホコリなどはご理解下さい。  透明な袋に入れてから封筒で発送します。  ☆即購入大歓迎  ☆いつまでに欲しいなどのご要望にはお応え出来かねますのでお急ぎの方はご遠慮願います。,お得☆マスキングテープ切り売り30cm×53種類,その他,https://static-mercari-jp-imgtr2.akamaized.net/thumb/photos/m27905173855_1.jpg?1522160786,送料込み,NOT_SOLD,文房具/事務用品,テープ/マスキングテープ,https://item.mercari.com/jp/m27905173855/,得 マスキングテープ 切り売り 30cm × 53種  ,マスキングテープ 切り売り 30cm × 53種 コレクション マスキングテープ 切り売り ！ ！ スヌーピー ミッフィー ディズニー 花柄 動物 食べ物 画像 柄 特に スヌーピー ミッフィー 柄 マスキングテープ オススメ ！ 1枚 画像 49種 プラス 4種類 53種 2枚 3枚 画像 柄 アップ 4枚 画像 クリアファイル 柄 30cm やや 長め プラス 粘着 マスキングテープ ハンドメイド ヨレ ホコリ 理解 袋 封筒 発送 購入 歓迎 要望 応え 急ぎ 遠慮  ,300
1173.0,,新品、未使用,#EXO ベッキョン  - love me right lmr k トレカ  - 1枚の値段です!,EXO トレカ,エンタメ・ホビー,https://static-mercari-jp-imgtr2.akamaized.net/thumb/photos/m82775955575_1.jpg?1521342059,着払い,NOT_SOLD,CD,K-POP/アジア,https://item.mercari.com/jp/m82775955575/,EXO トレカ  ,# EXO ベッキョン - love me right lmr k トレカ - 1枚 値段  ,1666
1390.0,,やや傷や汚れあり,ドラゴンボールヒーローズのハッチヒャックです。 上下どちらも白かけがみられます。 値下げしました。 1300円→1200円,ドラゴンボールヒーローズ ハッチヒャック,エンタメ・ホビー,https://static-mercari-jp-imgtr2.akamaized.net/thumb/photos/m75219008141_1.jpg?1522131242,送料込み,NOT_SOLD,トレーディングカード,ドラゴンボール,https://item.mercari.com/jp/m75219008141/,ドラゴンボールヒーローズ ハッチヒャック  ,ドラゴンボールヒーローズ ハッチヒャック 上下 白 かけがみ 値下げ 1300円 → 1200円  ,1200
1801.0,,目立った傷や汚れなし,以前呉服屋を営んでいたときの商品です^ ^  こちらは白の長襦袢です。喪服用ですが、普通に使っていただいても問題はありません。こちらは化繊のようです。  並寸(普通寸法)です。裄丈65cm、着丈130cm、袖丈48cm  目立った汚れやシミはありません。,着物 長襦袢 白 喪服 化繊,レディース,https://static-mercari-jp-imgtr2.akamaized.net/thumb/photos/m51509303014_1.jpg?1521890724,送料込み,NOT_SOLD,浴衣/水着,長襦袢/半襦袢,https://item.mercari.com/jp/m51509303014/,着物 長襦袢 白 喪服 化繊  ,呉服 商品 ^ ^ 白 長襦袢 喪服 化繊 並 寸 寸法 裄 丈 65cm 着丈 130cm 袖丈 48cm 汚れ シミ  ,4250
1794.0,バーバリー,やや傷や汚れあり,◆サイズ→110（アジャスターが付いていますので、100〜120サイズくらいかと思います）   バーバリーのコーデュロイスカートです。 Bのボタンにコーデュロイが可愛いです。 裾に少し汚れがございますが、まだまだお召しいただける状態かと思います。（子供が使用していた物になりますので、ご了承下さいませ）   ※デニム＆ダンガリー・ストンプスタンプ・JILL・GAP・コンビミニ・プチバトー・ZARA・H&M・オシュコシュ・ジンボリー・crazy8・BeBeなど子供服を大量に出品中・出品予定です☆   USEDに関しましては感じ方に個人差がございますので、気になる方はご遠慮下さいm(_ _)mまた、自宅保管になりますので、たたみシワ等ご理解下さい返品・クレーム・キャンセル・入札削除はお断り致します。   質問・即決・まとめ買い大歓迎です他にも多数出品しております。   自己紹介は必ずご覧下さいませm(_ _)m,☆バーバリー/コーデュロイスカート/100110120☆,ベビー・キッズ,https://static-mercari-jp-imgtr2.akamaized.net/thumb/photos/m41233164315_1.jpg?1517234926,送料込み,NOT_SOLD,キッズ服(女の子用) 100cm~,スカート,https://item.mercari.com/jp/m41233164315/,バーバリー / コーデュロイ スカート /  ,サイズ → アジャスター 〜 サイズ バーバリー コーデュロイ スカート B ボタン コーデュロイ 裾 汚れ お召 状態 子供 使用 了承 ※ デニム ＆ ダンガリー ・ ストンプスタンプ ・ JILL ・ GAP ・ コンビミニ ・ プチバトー ・ ZARA ・ H&M ・ オシュコシュ ・ ジンボリー ・ crazy ・ BeBe 子供服 出品 ・ 出品 予定 USED 個人差 気 遠慮 m(_ _)m 自宅 保管 シワ 理解 返品 ・ クレーム ・ キャンセル ・ 入札 削除 お断り 質問 ・ 即決 ・ まとめ買い 歓迎 出品 自己紹介 m(_ _)m  ,2500
1738.0,,目立った傷や汚れなし,2冊まとめてのお譲りです。  2冊とも新品購入後一読したのみです。  公式ガイドブックのオビの裏に少しですがはがれ？あり それ以外は特に目立つようなキズや汚れなどは見受けられないかと思いますが素人検品なので、見落としあるかもしれません。 ご理解頂ける方のみご購入お願い致します。  値下げ不可  バラ売りは考えておりません  ユーリ ファンブック ヴィクトル ユリオ 勝生勇利 羽生結弦 宇野昌磨 田中刑事 ネイサン チェン パトリック チャン 久保ミツロウ MOOK,ユーリ!!! on ICE 公式ガイドブック とananセット,エンタメ・ホビー,https://static-mercari-jp-imgtr2.akamaized.net/thumb/photos/m45420850468_1.jpg?1521801753,送料込み,NOT_SOLD,雑誌,アート/エンタメ/ホビー,https://item.mercari.com/jp/m45420850468/,ユーリ!!! on ICE 公式ガイドブック anan セット  ,譲り 新品 購入 一読 公式ガイドブック オビ 裏 ？ 特に キズ 汚れ 素人 検品 理解 購入 お願い 値下げ バラ ユーリ ファンブック ヴィクトル ユリオ 勝生勇利 羽生結弦 宇野昌磨 田中刑事 ネイサン チェン パトリック 久保ミツロウ MOOK  ,1555
25728.0,ルイ ヴィトン,未使用に近い,とても人気のヴィトン インターナショナル モノグラム 三つ折り長財布 かなり人気の為早い者勝ち かなり綺麗です。  是非この機会に！ シリアルナンバー入りMB0013 正規品 鑑定済み  カード入れ10ヶ所 札入れ コインケース その他入れ とにかくたくさん入ります(*´ω｀*) かなりオススメです！  全体的にかなり綺麗です。 外観、中共に綺麗です。 コインケース綺麗です。 ベタつきなし。 お札入れも綺麗です。 ファスナー、金具、良好です。 通常使用可能です。  即日発送致します。  付属品なし。  中古品なので神経質な方はご遠慮ください。,かなり綺麗 美品 正規品 ルイ ヴィトン インターナショナル モノグラム 長財布,レディース,https://static-mercari-jp-imgtr2.akamaized.net/thumb/photos/m62319749953_1.jpg?1522150171,送料込み,NOT_SOLD,小物,長財布,https://item.mercari.com/jp/m62319749953/,かなり 正規 ルイ ヴィトン インターナショナル モノグラム 長財布  ,人気 ヴィトン インターナショナル モノグラム 長財布 かなり 人気 早い者勝ち かなり 是非 機会 ！ シリアルナンバー MB 正規 鑑定 カード 札入れ コインケース とにかく (*´ω｀*) かなり オススメ ！ 全体的 かなり 外観 中共 コインケース 札入れ ファスナー 金具 通常 使用 発送 付属品 中古品 遠慮  ,38000
1559.0,アディダス,新品、未使用,"新品・未使用 タグ付き  adidasのジャージです 薄手なのでこれからの季節にぴったり♡ めちゃくちゃ可愛いです！  定価15,500円",新品 adidas ジャージ,レディース,https://static-mercari-jp-imgtr2.akamaized.net/thumb/photos/m54910686554_1.jpg?1522104816,送料込み,NOT_SOLD,トップス,ジャージ,https://item.mercari.com/jp/m54910686554/,新品 adidas ジャージ  ,"新品 ・ 未使用 タグ adidas ジャージ 薄手 季節 ぴったり ！ 定価 , 500円  ",6500
5545.0,,新品、未使用,Kドリームスの『ガールズケイリングランプリ2017プレゼントキャンペーン』で当選したKドリームスオリジナル児玉碧衣選手のフォトブックです。  非売品、入手困難なフォトブックです。  尚、商品は中身確認の為開封済みになります。  初期傷、折れ、汚れなどを過度に気にされる方は購入をご遠慮下さい。  購入前にコメントをお願いします。    #ガールズ競輪 #ガールズケイリン #競輪 #児玉碧衣 #高木真備,Kドリームスオリジナル　競輪　ガールズケイリン　フォトブック　児玉碧衣　入手困難,スポーツ・レジャー,https://static-mercari-jp-imgtr2.akamaized.net/thumb/photos/m88592409317_1.jpg?1522032388,送料込み,NOT_SOLD,自転車,その他,https://item.mercari.com/jp/m88592409317/,Kドリームス オリジナル 競輪 ガールズケイリン フォトブック 児玉碧衣 入手  ,Kドリームス ガールズケイリン グランプリ プレゼント キャンペーン 当選 Kドリームス オリジナル 児玉碧衣 選手 フォトブック 非売品 入手 フォトブック 商品 中身 確認 開封 初期 傷 汚れ 気 購入 遠慮 購入 コメント お願い # ガールズ 競輪 # ガールズケイリン # 競輪 # 児玉 碧衣 # 高木真備  ,4000
3635.0,CCクロス,目立った傷や汚れなし,C.C.CROSS　シーシークロス　CCクロス ビジュードレス  定価18000円程  グレー サイズ38 Mサイズ 着丈85cm  ❤要※背中のビジュー右側一部4玉ビーズが取れています。一見目立ちませんが、ご了承の上ご購入下さいませ❤  二度しか着ていませんので 他は綺麗です。    ❤店内多数セール中 ❤値下げ不可   結婚式　パーティードレス　フォーマル ワンピース  マーキュリーデュオ　ペイトンプレイス ジャスグリッティー　ジルスチュアート BEAMS　ZARA　AR バナナリパブリック バナーバレット　コムサデモード コムサイズム　プラステ　ユナイテッドアローズ　ロッソ　KBF moussy アクシーズファム グレースコンチネンタル　JILLSTUART,定価1.8万C.C.CROSSビジュードレス,レディース,https://static-mercari-jp-imgtr2.akamaized.net/thumb/photos/m35849295321_1.jpg?1521086019,送料込み,NOT_SOLD,ワンピース,ひざ丈ワンピース,https://item.mercari.com/jp/m35849295321/,定価 . C.C.CROSS ビジュードレス  ,C.C.CROSS シーシークロス CC クロス ビジュードレス 定価 18000円 グレー サイズ サイズ 着丈 85cm 要 ※ 背中 ビジュー 右側 ビーズ 一見 了承 購入 他 店内 セール 値下げ 結婚式 パーティードレス ワンピース マーキュリーデュオ ペイトンプレイス ジャスグリッティー ジルスチュアート BEAMS ZARA AR バナナリパブリック バナーバレット コムサデモード コムサイズム プラステ ユナイテッドアローズ ロッソ KBF moussy アクシーズファム グレースコンチネンタル JILLSTUART  ,2400
1492.0,,新品、未使用,バラ売り不可  パック排出後スリーブ保管  殿堂入りになってしまったので,デュエマ ベイBジャックセット,エンタメ・ホビー,https://static-mercari-jp-imgtr2.akamaized.net/thumb/photos/m77658477408_1.jpg?1517067365,送料込み,NOT_SOLD,トレーディングカード,デュエルマスターズ,https://item.mercari.com/jp/m77658477408/,デュエマ ベイ B ジャック セット  ,バラ パック 排出 スリーブ 保管 殿堂入り  ,333
1394.0,プロポーション　ボディドレッシング,目立った傷や汚れなし,ベルト付きのガウチョです。 甘すぎないピンクであわせやすいです。 ウエスト背中部分がゴムになっています。  総丈56.5センチ  古着となりますので神経質な方は 購入をお控えください。,○0728さま専用○,レディース,https://static-mercari-jp-imgtr2.akamaized.net/thumb/photos/m25792349976_1.jpg?1504626436,送料込み,NOT_SOLD,パンツ,ガウチョパンツ,https://item.mercari.com/jp/m25792349976/, ,ベルト ガウチョ ピンク ウエスト 背中 部分 ゴム 丈 . 5センチ 古着 購入  ,2800
519.0,,新品、未使用,フォートナイトスマホ版の招待コード１つです 支払い確認後お送りします。 取り置き不可 即購入可能 Fortnite フォートナイト モバイルコード,Fortnite招待コード,エンタメ・ホビー,https://static-mercari-jp-imgtr2.akamaized.net/thumb/photos/m62969558396_1.jpg?1522160785,送料込み,NOT_SOLD,テレビゲーム,携帯用ゲームソフト,https://item.mercari.com/jp/m62969558396/,Fortnite 招待 コード  ,フォートナイトスマホ 招待 コード １つ 支払い 確認 お送り 購入可能 Fortnite フォートナイト モバイル コード  ,444
1817.0,ホリスター,新品、未使用,ホリスターのスエットパンツ。カラーはネイビー。カナダのHOLLISTERで購入。試着せずに購入したので丈がわたしには長すぎました。股下80センチ、 ウエスト、股上21センチ、 ウエスト平置き35センチ。レディースで購入しましたが海外製なのでメンズのほうがサイズがあうかもしれません。ウエストは紐で調節できるので問題なかったです。なのでメンズで出品しています。レディースでも丈があえば問題ないかとおもいます。  HOLLISTER アバクロ アバクロンビー&フィッチ ホリスター,HOLLISTER スウェットパンツ,メンズ,https://static-mercari-jp-imgtr2.akamaized.net/thumb/photos/m43286174023_1.jpg?1521608584,送料込み,NOT_SOLD,パンツ,その他,https://item.mercari.com/jp/m43286174023/,HOLLISTER スウェットパンツ  ,ホリスター スエットパンツ カラー ネイビー カナダ HOLLISTER 購入 試着 購入 丈 股下 80センチ ウエスト 股上 21センチ ウエスト 平 35センチ レディース 購入 海外 メンズ サイズ ウエスト 紐 調節 メンズ 出品 レディース 丈 HOLLISTER アバクロ アバクロンビー&フィッチ ホリスター  ,6111
859.0,,目立った傷や汚れなし,数回使用しました♪  サイズアウトの為出品します！,ショートパンツプリンセス110,ベビー・キッズ,https://static-mercari-jp-imgtr2.akamaized.net/thumb/photos/m68950394285_1.jpg?1522160785,送料込み,NOT_SOLD,キッズ服(女の子用) 100cm~,パンツ,https://item.mercari.com/jp/m68950394285/,ショートパンツ プリンセス  ,数回 使用 サイズ アウト 出品 ！  ,500
1513.0,,未使用に近い,長袖Tシャツです。 襟が少し広く袖先裾先がフリルのようになっています。 前と袖にハイビスカス柄、後ろにも柄があります。,フラダンスTシャツ,レディース,https://static-mercari-jp-imgtr2.akamaized.net/thumb/photos/m36314100353_1.jpg?1522160785,送料込み,NOT_SOLD,トップス,Tシャツ/カットソー(七分/長袖),https://item.mercari.com/jp/m36314100353/,フラダンス Tシャツ  ,長袖 Tシャツ 襟 袖 裾 フリル 袖 ハイビスカス 後ろ 柄  ,999
1382.0,,やや傷や汚れあり,傷があります。プレイ用としてご検討ください。 スリーブに入れて、ラップでくるみ書簡で発送します。,ピタゴラス アクアサーファー,エンタメ・ホビー,https://static-mercari-jp-imgtr2.akamaized.net/thumb/photos/m16038581641_1.jpg?1522160785,送料込み,NOT_SOLD,トレーディングカード,デュエルマスターズ,https://item.mercari.com/jp/m16038581641/,ピタゴラス アクアサーファー  ,傷 プレイ 検討 スリーブ ラップ くるみ 書簡 発送  ,300
3152.0,レディー,新品、未使用,マーブル柄ワンピースです(❁´ω`❁) １回着用しましたが私には合わず出品する事にしました♪♪,Rady ワンピース2点セットで7千円受け付けます♡,レディース,https://static-mercari-jp-imgtr2.akamaized.net/thumb/photos/m79670021955_1.jpg?1522137081,送料込み,NOT_SOLD,ワンピース,ひざ丈ワンピース,https://item.mercari.com/jp/m79670021955/,Rady ワンピース 2点 セット  ,マーブル ワンピース (❁´ ω `❁) 着用 出品 ♪♪  ,3500
1236.0,スライ,新品、未使用,新品タグつきですが自宅保管をご了承ください☆ イエロー 全長約40センチ サイズ1 定価5130円 プロフ必ず読んでください、ご了承の上でコメントや購入お願い致します 単品値下げ不可☆,新品タグつき Keith Haring×SLY RIBBON TOPS,レディース,https://static-mercari-jp-imgtr2.akamaized.net/thumb/photos/m48980092306_1.jpg?1515925580,送料込み,NOT_SOLD,トップス,Tシャツ/カットソー(半袖/袖なし),https://item.mercari.com/jp/m48980092306/,新品 タグ Keith Haring×SLY RIBBON TOPS  ,新品 タグ 自宅 保管 了承 イエロー 全長 40センチ サイズ 定価 5130円 プロフ 了承 コメント 購入 お願い 単品 値下げ  ,1400
952.0,,新品、未使用,"ねこのかぶりもの サンリオ キャラクター  ◎マイメロディ ◎クロミ ◎KIRIMIちゃん  3点セットでのお譲りになります。     【販売価格】 ¥1,488（送料込み）  プロフィールをご一読ください      こちら確認のため開封済みですが未使用です。ガチャポンのシリーズですので初期傷など気になる方は購入をお控えください。  発送は梱包した上で普通郵便を予定しています。",ねこのかぶりもの サンリオ,エンタメ・ホビー,https://static-mercari-jp-imgtr2.akamaized.net/thumb/photos/m25325790808_1.jpg?1522160785,送料込み,NOT_SOLD,おもちゃ/ぬいぐるみ,キャラクターグッズ,https://item.mercari.com/jp/m25325790808/,ねこ かぶりもの サンリオ  ,"ねこ かぶりもの サンリオ キャラクター ◎ マイメロディ ◎ クロミ ◎ KIRIMIちゃん 3点 セット 譲り 販売価格 ¥1 , 送料 プロフィール 一読 確認 開封 未使用 ガチャポン シリーズ 初期 傷 気 購入 発送 梱包 普通郵便 予定  ",9999
2627.0,アディダス オリジナルス,やや傷や汚れあり,adidas のジャージパーカーです。  人気のトレフォイルロゴです。  ロゴに割れなど多少の劣化が見られますが、まだまだ着ていただける一品です☆  身幅50cm 着丈54.5cm 肩幅47cm 袖丈59cm  #ジャージ☆BraUe☆スタイリストショップ  #パーカー☆BraUe☆スタイリストショップ  #スポーツMIX☆BraUe☆スタイリストショップ,アディダスオリジナルス レディースS ジャージ アディダス パーカー,レディース,https://static-mercari-jp-imgtr2.akamaized.net/thumb/photos/m37309991019_1.jpg?1522160785,送料込み,NOT_SOLD,トップス,パーカー,https://item.mercari.com/jp/m37309991019/,アディダスオリジナルス レディース S ジャージ アディダス パーカー  ,adidas ジャージパーカー 人気 トレフォイルロゴ ロゴ 劣化 身幅 50cm 着丈 54.5cm 肩幅 47cm 袖丈 59cm # ジャージ BraUe スタイリスト ショップ # パーカー BraUe スタイリスト ショップ # スポーツ MIX BraUe スタイリスト ショップ  ,3500
